Player,Matches,Batting Avg,Strike Rate,Bowling Economy,Bowling Avg Wickets
GH Vihari,2,2.0,50.0,9.0,0.0
P Ray Barman,1,19.0,76.0,14.0,0.0
MJ Santner,31,13.75,99.1,6.93,0.81
JP Behrendorff,17,6.0,66.67,8.47,1.12
SC Kuggeleijn,2,0.0,0.0,8.28,1.0
AS Joseph,22,27.0,84.38,8.84,0.95
HF Gurney,8,1.0,20.0,8.2,0.88
S Midhun,1,0.0,0.0,12.0,0.0
SD Lad,1,15.0,115.38,0.0,0.0
R Parag,50,30.88,143.11,8.72,0.08
JL Denly,1,0.0,0.0,0.0,0.0
LS Livingstone,48,27.66,150.36,8.6,0.27
Arshdeep Singh,50,5.0,55.56,8.29,1.27
AJ Turner,6,4.8,77.42,0.0,0.0
SE Rutherford,20,24.81,128.06,7.04,0.05
Harpreet Brar,46,24.4,114.02,7.72,0.76
Y Prithvi Raj,2,0.0,0.0,9.82,0.5
O Thomas,4,0.0,0.0,7.24,1.25
AS Roy,11,6.5,104.0,7.58,0.55
S Sandeep Warrier,10,0.0,0.0,8.35,0.8
P Simran Singh,50,27.33,151.13,0.0,0.0
JL Pattinson,10,15.0,115.38,8.41,1.1
SS Cottrell,6,0.0,0.0,7.37,1.0
Ravi Bishnoi,50,6.17,72.55,8.31,0.9
A Nortje,48,9.8,96.08,8.4,1.27
T Banton,2,9.0,81.82,0.0,0.0
I Udana,10,5.0,136.36,9.03,0.8
D Padikkal,50,21.96,119.16,0.0,0.0
YBK Jaiswal,50,39.49,151.76,36.0,0.0
RD Gaikwad,50,40.07,136.69,0.0,0.0
TU Deshpande,46,14.0,116.67,8.65,1.11
KL Nagarkoti,12,5.5,64.71,9.08,0.42
Abdul Samad,50,22.52,146.84,12.0,0.04
PK Garg,19,16.06,110.53,0.0,0.0
JR Philippe,5,19.5,97.5,0.0,0.0
Kartik Tyagi,20,3.25,81.25,8.84,0.75
JDS Neesham,10,10.0,106.38,8.73,0.7
DR Sams,16,4.89,91.67,7.54,0.88
Shahbaz Ahmed,50,19.43,114.77,9.29,0.39
AT Carey,3,16.0,110.34,0.0,0.0
N Jagadeesan,10,20.25,104.52,0.0,0.0
JR Hazlewood,39,19.0,63.33,7.88,1.46
CJ Green,1,0.0,0.0,8.47,0.0
P Dubey,5,23.0,69.7,8.35,0.4
Monu Kumar,1,0.0,0.0,6.0,0.0
KA Jamieson,13,65.0,108.33,8.81,1.08
M Jansen,35,12.82,103.68,8.25,1.03
RM Patidar,38,32.68,146.38,0.0,0.0
C Sakariya,20,4.0,64.52,7.53,1.0
M Shahrukh Khan,48,25.24,141.59,9.33,0.02
JA Richardson,4,5.67,62.96,9.7,0.75
RP Meredith,18,0.0,0.0,8.27,1.06
Lalit Yadav,25,20.33,101.33,8.55,0.4
Virat Singh,2,7.5,57.69,0.0,0.0
LI Meriwala,1,0.0,0.0,9.79,1.0
Jalaj S Saxena,1,0.0,0.0,9.0,0.0
FA Allen,5,7.0,73.68,8.9,0.4
DJ Malan,1,26.0,100.0,0.0,0.0
KS Bharat,8,28.43,118.45,0.0,0.0
PWH de Silva,37,6.23,85.26,8.22,1.24
VR Iyer,50,28.98,132.12,13.17,0.0
Umran Malik,26,23.0,143.75,8.46,1.12
Akash Singh,10,0.0,0.0,9.32,0.9
GD Phillips,8,9.29,118.18,7.55,0.25
AK Markram,50,32.2,133.2,8.96,0.12
GHS Garton,5,2.0,50.0,7.92,0.6
K Yadav,3,0.0,0.0,9.33,0.67
NT Ellis,17,4.75,73.08,8.2,1.12
RV Patel,7,26.67,105.26,6.0,0.0
